FR
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.001
0.067
0.218
0.329
0.391
0.401
0.361
0.266
0.120
0.006
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.001
0.052
0.143
0.207
0.256
0.272
0.252
0.184
0.083
0.004
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.001
0.044
0.107
0.149
0.169
0.168
0.151
0.106
0.056
0.004
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.001
0.046
0.135
0.188
0.231
0.237
0.215
0.161
0.077
0.003
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.001
0.072
0.200
0.280
0.338
0.353
0.325
0.245
0.121
0.008
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.001
0.062
0.168
0.234
0.267
0.264
0.232
0.167
0.082
0.006
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.001
0.055
0.165
0.234
0.275
0.279
0.250
0.190
0.100
0.010
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.001
0.063
0.163
0.220
0.248
0.245
0.227
0.183
0.099
0.010
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.001
0.042
0.114
0.157
0.185
0.186
0.170
0.134
0.071
0.007
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.002
0.049
0.127
0.178
0.220
0.223
0.202
0.150
0.083
0.008
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.002
0.070
0.214
0.321
0.404
0.408
0.369
0.281
0.152
0.016
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.002
0.083
0.221
0.319
0.378
0.387
0.350
0.269
0.144
0.018
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.001
0.082
0.223
0.308
0.354
0.349
0.296
0.214
0.118
